Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
0,SDSS J000013.54+255418.6,46.1,48,0.99,2004,Pegasus
1,2MASS J00040288-64,192,19,1.63,,Tucana
2,LHS ,,,,2002,Phoenix
3,2MASS J00242463-01,37.7,79,1.09,,Pisces
4,2MASS J00250365+4759,143,,,,Cassiopeia
5,2MASS J00274197+05,236,31,1.44,,Pisces
6,2MASS J00275592+22,46.9,,,,Andromeda
7,2MASSW J0030300-1,87.2,54,0.98,n/a,Cetus
8,2MASS J00332386-1521309,131,29,1.43,n/a,Cetus
9,2MASS J00345157+05,31,42,0.94,n/a,Pisces
10,2MASS 0036,28.6,42,0.94,2000,Pisces
11,2MASSW J0045214+1,57,23,1.62,n/a,Pisces
12,WISEP J004701.06+680352.1,40,12,1.3,n/a,Cassiopeia
13,2MASS J00501994-3322402,34,40,0.94,n/a,Sculptor
14,2MASS J00034227-28,,,,n/a,Sculptor
15,2MASS J00584253-0651239,96,29,1.43,n/a,Cetus
16,CFBDS J005910.90–011,30,23,,2013,Cetus
17,2MASSI J0103320+1,70,52,0.98,,Pisces
18,SDSSp J010752.33+004156.1,51,52,0.98,,Cetus
19,2MASSI J0117474-340325,163,20,1.62,,Sculptor
20,2MASS J01415823-4633574,130,20,1.61,,Phoenix
21,SDSS J015141.69+124,70,47,0.97,,
22,DENIS-P J020529.0−11,65,,,1997,Cetus
23,DENIS-P J020529.0−11,65,,,1997,Cetus
24,DENIS-P J020529.0−11,65,,,1997,Cetus
25,SDSS J020742.48+000056.2,111,47,0.97,n/a,Cetus
26,2MASS J02103857-30,101,15,1.53,n/a,
27,2MASS J02340093-64,155,20,1.62,n/a,
28,2MASS J02411151-0326587,152,27,1.41,n/a,Cetus
29,2MASS J02431371−24,35,33,0.99,2002,Fornax
30,LP 7,53,78,1.08,n/a,
31,2MASS J02511327+00,,,,n/a,
32,Teegarden's,12.578,80,1.27,2003,Aries
