,Serial No,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
0,0,SDSS J000013.54+255418.6,46.1,4.932624,0.0009450421200000001,2004.0,Pegasus
10,10,2MASS 0036,28.6,4.316046,0.00089731272,2000.0,Pisces
29,29,2MASS J02431371−24,35.0,3.3911789999999997,0.0009450421200000001,2002.0,Fornax
32,32,Teegarden's,12.578,8.221039999999999,0.0012123267600000001,2003.0,Aries
35,35,DEN 0255,16.2,8.221039999999999,0.00092595036,2006.0,Eridanus
36,36,2MASS J03185403-3421292,45.0,5.035387,0.00092595036,2008.0,Fornax
40,40,2MASS J03264225-2102057,80.0,1.8497339999999998,0.0012409644000000001,2003.0,Eridanus
41,41,2MASS J03284265+2302051,98.0,5.549201999999999,0.00093549624,2000.0,Taurus
45,45,Te,380.0,5.651965,0.00360834264,1995.0,Taurus
47,47,2MASS J03552337+11,29.8,2.0552599999999996,0.00126005616,2006.0,Taurus
49,49,2MASS J04151954−09,18.6,3.08289,0.0009068586,2002.0,Eridanus
51,51,2MASS J04285096-2253227,85.0,8.221039999999999,0.0010405009200000002,2003.0,Eridanus
54,54,2MASS J04390101-2353083,29.5,4.932624,0.00092595036,2003.0,Eridanus
57,57,2MASS J04455387-3048204,42.0,6.576832,0.000954588,2003.0,Caelum
58,58,2MASS J04510093-3402150,69.0,0.10687352,0.068730336,2003.0,Caelum
59,59,2MASS J05002100+0330501,44.0,6.576832,0.000954588,2008.0,Orion
60,60,2MASS J05012406-0010452,64.0,2.158023,0.00131733144,2008.0,Orion
61,61,2MASS J05160945-0445499,73.0,4.829860999999999,0.00092595036,2003.0,Orion
66,66,LSR 0602+3910,34.6,2.877364,0.00134596908,2003.0,Auriga
70,70,2MASS J06244595-4521548,39.0,5.754728,0.0009450421200000001,2008.0,Puppis
71,71,2MASS J06411840-4322329,65.0,6.885121,0.00096413388,2008.0,Puppis
72,72,DENIS-P J0652197-253450,51.0,7.707224999999999,0.0010023174,2008.0,Canis Major
75,75,UGPS J072227.51-054,13.4,2.6718379999999997,0.00093549624,2010.0,Monoceros
76,76,2MASSI J0727182+171001,29.6,4.213283,0.00089731272,2002.0,Gemini
77,77,2MASS J07290002-3954043,25.8,3.802231,0.00089731272,2007.0,Puppis
78,78,SDSS J074201.41+205520.5,49.0,4.4188089999999995,0.00089731272,2004.0,Gemini
80,80,DENIS-P J0751164-253043,55.0,7.296173,0.0009832256400000002,2008.0,Puppis
82,82,DENIS J081730.0-6,16.1,4.521572,0.00089731272,2010.0,Carina
85,85,2MASS J08251968+2115521,35.0,5.343675999999999,0.00093549624,2000.0,Cancer
86,86,SDSSp J083008.12+482847.4,43.0,4.932624,0.0009450421200000001,2002.0,Lynx
88,88,SDSS J083048.80+012831.1,77.0,4.727098,0.00091640448,2004.0,Hydra
89,89,2MASSI J0835425-081923,23.53,6.371306,0.000954588,2003.0,Hydra
90,90,2MASSI J0847287-153237,43.0,6.576832,0.000954588,2003.0,Hydra
92,92,2MASSI J0859254-194926,50.0,5.1381499999999996,0.00093549624,2003.0,Pyxis
94,94,2MASSI J0937347+2,20.0,4.316046,0.00089731272,2002.0,Leo
95,95,2MASS 0939,17.4,3.288416,0.0009068586,2005.0,Antlia
96,96,2MASS J09490860-1545485,59.0,5.035387,0.00091640448,2005.0,Hydra
98,98,2MASSI J1010148-040649,55.0,5.240913,0.00093549624,2003.0,Sextans
101,101,2MASS J10224821+5825453,60.0,2.7746009999999997,0.00134596908,2008.0,Ursa Major
102,102,2MASSW J1036530-344138,53.0,5.035387,0.00092595036,2002.0,Antlia
103,103,2MASS J1047538+212423,34.4,4.316046,0.00089731272,1999.0,Leo
104,104,DEN 1048,13.15,7.912750999999999,0.00102140916,2000.0,Antlia
105,105,Luhma,6.516,4.4188089999999995,0.0009736797600000001,2013.0,Vela
106,106,Luhma,6.516,4.110519999999999,0.00096413388,2013.0,Vela
107,107,DENIS-P J1058.7,49.0,6.576832,0.000954588,1997.0,Crater
109,109,Cha 110913-7,163.0,0.822104,0.0017182584,2005.0,Chamaeleon
112,112,2MASS J11145133−26,18.2,3.3911789999999997,0.00091640448,2005.0,Hydra
